NC_002946.2.1	dnaA
NC_002946.2.84	besA
NC_002946.2.86	dnaE
NC_002946.2.88	ybcJ
NC_002946.2.89	group_315
NC_002946.2.90	group_754
NC_002946.2.91	group_316
NC_002946.2.92	avtA
NC_002946.2.93	capD
NC_002946.2.94	pglC
NC_002946.2.95	group_755
NC_002946.2.96	group_756
NC_002946.2.97	group_270
NC_002946.2.98	group_757
NC_002946.2.99	ribD
NC_002946.2.100	group_759
NC_002946.2.101	group_3112
NC_002946.2.102	aroB
NC_002946.2.103	aroK
NC_002946.2.104	group_760
NC_002946.2.105	pilQ
NC_002946.2.106	group_3187
NC_002946.2.107	group_3120
NC_002946.2.108	group_3267
NC_002946.2.109	group_3038
NC_002946.2.110	mrcA
NC_002946.2.111	engB
NC_002946.2.112	cc4
NC_002946.2.113	group_761
NC_002946.2.114	ccsB
NC_002946.2.115	ccmF
NC_002946.2.116	gcp
NC_002946.2.117	htrB_1
NC_002946.2.118	group_762
NC_002946.2.119	group_763
NC_002946.2.120	metK
NC_002946.2.121	pbp3
NC_002946.2.122	group_322
NC_002946.2.123	group_764
NC_002946.2.124	group_765
NC_002946.2.125	citN
NC_002946.2.126	basR
NC_002946.2.127	rssA_1
NC_002946.2.128	cafA
NC_002946.2.129	grxC
NC_002946.2.130	secB
NC_002946.2.131	recG
NC_002946.2.132	argC
NC_002946.2.133	group_324
NC_002946.2.134	group_325
NC_002946.2.135	group_3323
NC_002946.2.136	group_160
NC_002946.2.137	group_766
NC_002946.2.138	group_767
NC_002946.2.139	cvaA_1
NC_002946.2.140	group_327
NC_002946.2.141	group_328
NC_002946.2.142	hlyB
NC_002946.2.144	rbn
NC_002946.2.145	group_329
NC_002946.2.146	queC
NC_002946.2.147	group_3259
NC_002946.2.148	group_769
NC_002946.2.149	group_330
NC_002946.2.151	group_770
NC_002946.2.152	mleN
NC_002946.2.153	group_771
NC_002946.2.154	mucD
NC_002946.2.155	nth
NC_002946.2.156	yqaA
NC_002946.2.157	group_772
NC_002946.2.158	fucP
NC_002946.2.159	nhaC
NC_002946.2.160	corC
NC_002946.2.161	group_2426
NC_002946.2.162	hemC
NC_002946.2.163	group_1
NC_002946.2.164	group_16
NC_002946.2.166	group_163
NC_002946.2.167	group_3162
NC_002946.2.168	rhlE_1
NC_002946.2.169	group_773
NC_002946.2.170	dus_1
NC_002946.2.171	fis
NC_002946.2.172	ruvC
NC_002946.2.173	htrB_2
NC_002946.2.174	group_774
NC_002946.2.175	group_2980
NC_002946.2.176	pepN
NC_002946.2.178	group_775
NC_002946.2.179	group_164
NC_002946.2.180	group_2623
NC_002946.2.181	group_3299
NC_002946.2.182	group_2098
NC_002946.2.183	group_776
NC_002946.2.184	group_334
NC_002946.2.185	group_777
NC_002946.2.186	group_3212
NC_002946.2.187	mntB
NC_002946.2.188	fhuC
NC_002946.2.189	rplS
NC_002946.2.190	trmD
NC_002946.2.191	rimM
NC_002946.2.192	rpsP
NC_002946.2.193	group_2111
NC_002946.2.194	group_335
NC_002946.2.195	cpxA
NC_002946.2.196	ompR
NC_002946.2.197	group_336
NC_002946.2.198	group_2456
NC_002946.2.199	yhdE
NC_002946.2.200	tatC
NC_002946.2.201	tatB
NC_002946.2.202	tatA
NC_002946.2.203	hinT
NC_002946.2.204	hisE
NC_002946.2.205	gutB
NC_002946.2.207	hdaH
NC_002946.2.208	yajC
NC_002946.2.209	secD
NC_002946.2.210	secF
NC_002946.2.212	group_778
NC_002946.2.213	potA_1
NC_002946.2.214	group_779
NC_002946.2.216	potH
NC_002946.2.217	ydcV
NC_002946.2.218	puuB
NC_002946.2.219	amtB
NC_002946.2.220	rho
NC_002946.2.221	ppsA
NC_002946.2.222	group_339
NC_002946.2.223	group_3330
NC_002946.2.224	ydiA
NC_002946.2.225	gph_1
NC_002946.2.226	group_340
NC_002946.2.227	lolA
NC_002946.2.228	potF_2
NC_002946.2.229	pglE
NC_002946.2.230	yrdA
NC_002946.2.231	prfC
NC_002946.2.232	hisI
NC_002946.2.233	hisF
NC_002946.2.234	hisA
NC_002946.2.235	hisH
NC_002946.2.236	pta
NC_002946.2.237	fbpC
NC_002946.2.238	fbpB
NC_002946.2.239	fbpA
NC_002946.2.240	group_341
NC_002946.2.241	argH
NC_002946.2.242	gtaB
NC_002946.2.243	group_2678
NC_002946.2.244	group_166
NC_002946.2.245	ppa
NC_002946.2.246	ntpA
NC_002946.2.248	group_35
NC_002946.2.249	group_780
NC_002946.2.250	group_2310
NC_002946.2.251	group_781
NC_002946.2.252	group_782
NC_002946.2.253	group_783
NC_002946.2.254	group_94
NC_002946.2.255	trkG
NC_002946.2.256	apaH
NC_002946.2.257	ridA
NC_002946.2.258	group_3240
NC_002946.2.259	group_784
NC_002946.2.260	hemN_1
NC_002946.2.261	ligA_1
NC_002946.2.262	group_2809
NC_002946.2.263	ampD
NC_002946.2.264	yceG
NC_002946.2.265	tmk
NC_002946.2.266	maeB
NC_002946.2.267	lpxK
NC_002946.2.269	group_167
NC_002946.2.270	group_2169
NC_002946.2.271	kdsB
NC_002946.2.272	group_343
NC_002946.2.273	group_3357
NC_002946.2.276	trpA
NC_002946.2.277	accD
NC_002946.2.278	group_168
NC_002946.2.279	tusA
NC_002946.2.280	group_345
NC_002946.2.284	pyrC
NC_002946.2.285	nusB
NC_002946.2.286	ribH
NC_002946.2.287	group_2369
NC_002946.2.288	rnc
NC_002946.2.289	era
NC_002946.2.290	lbpA
NC_002946.2.293	trpF
NC_002946.2.294	greB
NC_002946.2.295	purF
NC_002946.2.296	cvpA
NC_002946.2.297	group_2638
NC_002946.2.298	folC
NC_002946.2.299	group_2478
NC_002946.2.300	group_2315
NC_002946.2.301	glnQ
NC_002946.2.302	group_2401
NC_002946.2.303	group_3085
NC_002946.2.304	ksgA
NC_002946.2.305	group_2416
NC_002946.2.306	trpB
NC_002946.2.307	iga
NC_002946.2.308	comA
NC_002946.2.309	comL
NC_002946.2.310	rluD
NC_002946.2.311	group_348
NC_002946.2.312	group_786
NC_002946.2.313	yfiH
NC_002946.2.314	lptE
NC_002946.2.315	holA
NC_002946.2.316	group_2961
NC_002946.2.317	group_349
NC_002946.2.318	group_2800
NC_002946.2.319	group_350
NC_002946.2.320	rpoH
NC_002946.2.321	lnt
NC_002946.2.322	yedI
NC_002946.2.323	group_2643
NC_002946.2.324	group_787
NC_002946.2.325	hemH
NC_002946.2.326	tgt
NC_002946.2.328	thrS
NC_002946.2.329	infC
NC_002946.2.330	rpmI
NC_002946.2.331	rplT
NC_002946.2.332	pheS
NC_002946.2.333	vsr_1
NC_002946.2.334	hpaIIM
NC_002946.2.335	group_3281
NC_002946.2.336	group_354
NC_002946.2.337	pheT
NC_002946.2.338	ihfA
NC_002946.2.339	group_2122
NC_002946.2.340	fxsA
NC_002946.2.341	group_2321
NC_002946.2.342	bioA
NC_002946.2.343	bioD
NC_002946.2.344	group_2211
NC_002946.2.345	group_788
NC_002946.2.346	ubiA
NC_002946.2.347	ptsN
NC_002946.2.348	hprK
NC_002946.2.349	yhbJ
NC_002946.2.350	rbgA
NC_002946.2.351	scpB
NC_002946.2.352	recN
NC_002946.2.355	mnmC
NC_002946.2.356	group_2108
NC_002946.2.357	ubiE
NC_002946.2.358	group_2615
NC_002946.2.359	folK
NC_002946.2.360	sirB2
NC_002946.2.361	group_3371
NC_002946.2.362	group_2117
NC_002946.2.363	hfq
NC_002946.2.364	pbpG
NC_002946.2.365	bcp
NC_002946.2.366	xerD
NC_002946.2.367	group_3367
NC_002946.2.368	group_2336
NC_002946.2.369	rfbD
NC_002946.2.370	purC
NC_002946.2.371	pnp
NC_002946.2.372	group_2101
NC_002946.2.373	group_2338
NC_002946.2.374	dapF
NC_002946.2.375	group_355
NC_002946.2.376	cysK
NC_002946.2.377	group_357
NC_002946.2.378	group_2225
NC_002946.2.379	group_789
NC_002946.2.380	lepB
NC_002946.2.381	lepA
NC_002946.2.382	mtnN
NC_002946.2.383	pilT_1
NC_002946.2.384	dnaX
NC_002946.2.385	group_2163
NC_002946.2.386	ycfH
NC_002946.2.387	group_358
NC_002946.2.388	grxD
NC_002946.2.390	upp
NC_002946.2.391	group_2374
NC_002946.2.392	group_2407
NC_002946.2.393	bcgIA
NC_002946.2.394	bcgIB
NC_002946.2.395	group_2827
NC_002946.2.396	hemD
NC_002946.2.397	hemX
NC_002946.2.398	group_3005
NC_002946.2.399	hemE
NC_002946.2.400	group_170
NC_002946.2.401	group_2425
NC_002946.2.402	bspRIM_2
NC_002946.2.403	group_7
NC_002946.2.405	radA
NC_002946.2.406	group_359
NC_002946.2.407	pspE
NC_002946.2.408	recB
NC_002946.2.409	yfeX
NC_002946.2.410	group_3097
NC_002946.2.411	tcyB
NC_002946.2.412	tcyC
NC_002946.2.413	algC
NC_002946.2.414	ppiB
NC_002946.2.415	sdcS
NC_002946.2.416	group_2198
NC_002946.2.417	group_3169
NC_002946.2.418	pth
NC_002946.2.419	group_2293
NC_002946.2.420	ratA
NC_002946.2.421	ftsH
NC_002946.2.422	rlmE
NC_002946.2.423	group_3221
NC_002946.2.424	hemB
NC_002946.2.425	metC
NC_002946.2.426	folE2
NC_002946.2.427	group_96
NC_002946.2.428	rluF
NC_002946.2.429	ppnK
NC_002946.2.430	group_2740
NC_002946.2.431	yeeZ
NC_002946.2.432	fadR
NC_002946.2.433	group_790
NC_002946.2.434	mdtK
NC_002946.2.435	group_791
NC_002946.2.436	hisZ
NC_002946.2.437	purA
NC_002946.2.438	htpX
NC_002946.2.439	adk
NC_002946.2.440	pyrF
NC_002946.2.441	rfaE
NC_002946.2.442	hldD
NC_002946.2.443	group_173
NC_002946.2.444	dinD
NC_002946.2.445	group_19
NC_002946.2.447	hsdR_1
NC_002946.2.448	clpA
NC_002946.2.449	clpS
NC_002946.2.451	group_792
NC_002946.2.452	pmbA
NC_002946.2.453	yjgA
NC_002946.2.454	group_362
NC_002946.2.455	recJ
NC_002946.2.456	pcnB
NC_002946.2.457	group_2387
NC_002946.2.458	ybeZ
NC_002946.2.459	pimB
NC_002946.2.460	group_363
NC_002946.2.461	group_364
NC_002946.2.462	dcd
NC_002946.2.463	group_2329
NC_002946.2.464	rdgC
NC_002946.2.465	engA
NC_002946.2.466	group_2675
NC_002946.2.467	hisS
NC_002946.2.468	lagD
NC_002946.2.469	group_97
NC_002946.2.470	group_793
NC_002946.2.471	group_794
NC_002946.2.472	group_795
NC_002946.2.473	group_366
NC_002946.2.474	group_367
NC_002946.2.475	rluA
NC_002946.2.476	group_3125
NC_002946.2.477	speE
NC_002946.2.479	panB
NC_002946.2.480	panC
NC_002946.2.481	group_177
NC_002946.2.483	lolB
NC_002946.2.484	ipk
NC_002946.2.487	prs
NC_002946.2.488	rplY
NC_002946.2.489	dacC
NC_002946.2.490	ilvA
NC_002946.2.491	cysA
NC_002946.2.492	cysW_1
NC_002946.2.493	cysW_2
NC_002946.2.494	group_2561
NC_002946.2.495	group_2395
NC_002946.2.496	sodB
NC_002946.2.497	dnaB
NC_002946.2.498	group_796
NC_002946.2.499	pilV
NC_002946.2.500	pilW
NC_002946.2.501	group_798
NC_002946.2.502	group_799
NC_002946.2.503	group_180
NC_002946.2.504	group_800
NC_002946.2.505	group_801
NC_002946.2.506	dut
NC_002946.2.507	dapL
NC_002946.2.508	yaaA
NC_002946.2.511	intA_1
NC_002946.2.513	group_2282
NC_002946.2.514	group_3067
NC_002946.2.515	group_803
NC_002946.2.516	group_2612
NC_002946.2.517	group_804
NC_002946.2.518	group_2829
NC_002946.2.519	group_2957
NC_002946.2.520	group_2815
NC_002946.2.521	group_36
NC_002946.2.522	group_805
NC_002946.2.523	group_67
NC_002946.2.524	group_2433
NC_002946.2.525	group_24
NC_002946.2.526	group_806
NC_002946.2.527	group_372
NC_002946.2.528	group_807
NC_002946.2.529	group_373
NC_002946.2.530	group_808
NC_002946.2.531	group_3363
NC_002946.2.532	group_809
NC_002946.2.533	group_3137
NC_002946.2.534	group_182
NC_002946.2.535	group_116
NC_002946.2.536	dnaC_2
NC_002946.2.537	group_37
NC_002946.2.538	group_38
NC_002946.2.539	group_48
NC_002946.2.540	group_3106
NC_002946.2.541	group_810
NC_002946.2.542	group_374
NC_002946.2.543	group_375
NC_002946.2.544	group_376
NC_002946.2.545	group_68
NC_002946.2.546	group_811
NC_002946.2.547	group_812
NC_002946.2.548	group_813
NC_002946.2.549	group_814
NC_002946.2.550	group_815
NC_002946.2.551	group_98
NC_002946.2.552	group_816
NC_002946.2.553	group_183
NC_002946.2.554	group_817
NC_002946.2.555	group_818
NC_002946.2.556	group_819
NC_002946.2.557	group_377
NC_002946.2.558	group_820
NC_002946.2.559	group_821
NC_002946.2.560	group_822
NC_002946.2.561	group_823
NC_002946.2.562	group_824
NC_002946.2.563	group_378
NC_002946.2.564	group_99
NC_002946.2.565	group_379
NC_002946.2.566	group_825
NC_002946.2.567	pemK
NC_002946.2.568	mazE
NC_002946.2.569	group_184
NC_002946.2.570	group_380
NC_002946.2.571	group_2448
NC_002946.2.572	group_828
NC_002946.2.573	group_1897
NC_002946.2.574	group_829
NC_002946.2.575	group_830
NC_002946.2.576	group_831
NC_002946.2.577	purM
NC_002946.2.579	betP
NC_002946.2.580	fadD_2
NC_002946.2.581	group_832
NC_002946.2.582	group_381
NC_002946.2.583	group_3130
NC_002946.2.584	dltB
NC_002946.2.585	sotB_2
NC_002946.2.586	sotB_1
NC_002946.2.587	merP
NC_002946.2.588	group_186
NC_002946.2.589	group_49
NC_002946.2.590	group_2130
NC_002946.2.591	group_2181
NC_002946.2.592	glxK
NC_002946.2.593	yfkJ
NC_002946.2.594	zur
NC_002946.2.595	yjiA
NC_002946.2.596	ppiA
NC_002946.2.597	group_141
NC_002946.2.598	group_2701
NC_002946.2.599	ttcA
NC_002946.2.600	ygfZ
NC_002946.2.601	yabJ
NC_002946.2.602	ybaK
NC_002946.2.603	dnaJ_1
NC_002946.2.604	group_2398
NC_002946.2.605	group_833
NC_002946.2.606	group_834
NC_002946.2.607	group_100
NC_002946.2.608	aspA
NC_002946.2.609	group_835
NC_002946.2.610	yceI
NC_002946.2.611	group_3252
NC_002946.2.612	group_2106
NC_002946.2.613	group_3229
NC_002946.2.614	fcuA_2
NC_002946.2.615	fcuA_1
NC_002946.2.616	group_2769
NC_002946.2.617	group_836
NC_002946.2.618	lpdA
NC_002946.2.619	group_837
NC_002946.2.620	aceF
NC_002946.2.621	aceE
NC_002946.2.622	proS
NC_002946.2.623	ycgM
NC_002946.2.624	yqgF
NC_002946.2.625	group_387
NC_002946.2.626	group_388
NC_002946.2.627	group_679
NC_002946.2.628	ctpB
NC_002946.2.629	uvrB
NC_002946.2.630	cah
NC_002946.2.631	group_2507
NC_002946.2.632	trmB
NC_002946.2.633	group_39
NC_002946.2.634	uvrC
NC_002946.2.635	copA_2
NC_002946.2.636	trxB
NC_002946.2.637	rpsF
NC_002946.2.638	group_840
NC_002946.2.639	rpsR
NC_002946.2.640	rplI
NC_002946.2.641	group_841
NC_002946.2.642	group_2791
NC_002946.2.643	pcs
NC_002946.2.644	group_842
NC_002946.2.645	group_3312
NC_002946.2.646	pyrP
NC_002946.2.647	ftsK_2
NC_002946.2.648	group_25
NC_002946.2.649	tig
NC_002946.2.650	clpP
NC_002946.2.651	ispG
NC_002946.2.652	group_2159
NC_002946.2.653	rlmN
NC_002946.2.654	ndk
NC_002946.2.655	yhcM
NC_002946.2.656	group_2581
NC_002946.2.657	frmA
NC_002946.2.658	adhC
NC_002946.2.659	adhR
NC_002946.2.660	hip
NC_002946.2.661	rpsA
NC_002946.2.662	cmk
NC_002946.2.663	group_2474
NC_002946.2.664	rsuA
NC_002946.2.665	mltD
NC_002946.2.666	group_2149
NC_002946.2.667	mutM
NC_002946.2.668	plsC_1
NC_002946.2.669	group_2146
NC_002946.2.670	nrdA
NC_002946.2.671	group_2215
NC_002946.2.672	nrdB
NC_002946.2.673	ycbX
NC_002946.2.674	ftsB
NC_002946.2.675	eno
NC_002946.2.676	group_2460
NC_002946.2.677	kdsA
NC_002946.2.678	panD
NC_002946.2.679	group_2806
NC_002946.2.681	mfd
NC_002946.2.682	group_395
NC_002946.2.683	group_396
NC_002946.2.684	mltB
NC_002946.2.685	group_2214
NC_002946.2.687	gyrA
NC_002946.2.688	hscB
NC_002946.2.689	arfA
NC_002946.2.690	iscA
NC_002946.2.691	nifU
NC_002946.2.692	fic
NC_002946.2.693	group_189
NC_002946.2.694	iscS
NC_002946.2.695	iscR
NC_002946.2.696	group_843
NC_002946.2.697	lldA
NC_002946.2.698	group_400
NC_002946.2.699	mboIIM
NC_002946.2.700	truB
NC_002946.2.701	group_190
NC_002946.2.702	rbfA
NC_002946.2.703	clpX
NC_002946.2.704	argD
NC_002946.2.705	group_401
NC_002946.2.706	group_2498
NC_002946.2.707	group_844
NC_002946.2.708	rhlE_2
NC_002946.2.709	rlmL_1
NC_002946.2.710	trxA
NC_002946.2.711	dnrN
NC_002946.2.712	nadE
NC_002946.2.713	xseA
NC_002946.2.714	yhjX
NC_002946.2.715	rluB
NC_002946.2.716	pdxH
NC_002946.2.717	ascD
NC_002946.2.718	gatB
NC_002946.2.719	group_2699
NC_002946.2.720	gatA
NC_002946.2.721	gatC
NC_002946.2.722	marC
NC_002946.2.723	sad
NC_002946.2.724	group_3278
NC_002946.2.725	group_845
NC_002946.2.726	rsmB_1
NC_002946.2.727	group_404
NC_002946.2.728	trmJ
NC_002946.2.729	suhB_1
NC_002946.2.730	group_846
NC_002946.2.732	leuB
NC_002946.2.733	group_101
NC_002946.2.734	banIM
NC_002946.2.735	leuD1
NC_002946.2.736	group_2357
NC_002946.2.737	leuC
NC_002946.2.738	group_3037
NC_002946.2.739	radC
NC_002946.2.740	group_2983
NC_002946.2.741	group_2854
NC_002946.2.742	hflX
NC_002946.2.743	copA_1
NC_002946.2.744	group_847
NC_002946.2.745	fpr_2
NC_002946.2.746	group_3342
NC_002946.2.747	thrC
NC_002946.2.748	group_2914
NC_002946.2.749	group_2139
NC_002946.2.750	group_848
NC_002946.2.751	group_102
NC_002946.2.753	tfdR
NC_002946.2.754	group_2202
NC_002946.2.755	group_408
NC_002946.2.756	prn
NC_002946.2.757	group_103
NC_002946.2.759	rarA
NC_002946.2.760	hsdR_2
NC_002946.2.761	group_3242
NC_002946.2.762	group_409
NC_002946.2.763	group_849
NC_002946.2.764	group_410
NC_002946.2.765	hsdM
NC_002946.2.766	group_850
NC_002946.2.767	ribB
NC_002946.2.769	group_851
NC_002946.2.770	ibpA
NC_002946.2.772	group_852
NC_002946.2.773	group_2705
NC_002946.2.774	group_853
NC_002946.2.775	group_854
NC_002946.2.776	group_855
NC_002946.2.777	group_3041
NC_002946.2.778	group_856
NC_002946.2.779	group_192
NC_002946.2.781	mutY
NC_002946.2.782	fdm
NC_002946.2.783	group_857
NC_002946.2.784	eda
NC_002946.2.785	ilvD_2
NC_002946.2.786	zwf
NC_002946.2.787	pgl
NC_002946.2.788	glk
NC_002946.2.789	ybbH
NC_002946.2.790	pgi1
NC_002946.2.791	group_858
NC_002946.2.793	group_2855
NC_002946.2.794	group_859
NC_002946.2.795	group_860
NC_002946.2.796	group_412
NC_002946.2.797	group_861
NC_002946.2.798	group_413
NC_002946.2.799	group_104
NC_002946.2.801	group_862
NC_002946.2.802	group_863
NC_002946.2.803	group_71
NC_002946.2.805	group_2879
NC_002946.2.806	group_105
NC_002946.2.807	group_414
NC_002946.2.809	group_2363
NC_002946.2.810	group_3262
NC_002946.2.811	group_2197
NC_002946.2.812	intA_2
NC_002946.2.813	fpr_1
NC_002946.2.814	group_864
NC_002946.2.815	group_2355
NC_002946.2.816	dinB
NC_002946.2.817	rep
NC_002946.2.818	aroD
NC_002946.2.819	recA
NC_002946.2.820	group_865
NC_002946.2.821	ybaB
NC_002946.2.822	dnaX_3
NC_002946.2.824	mutL
NC_002946.2.825	group_866
NC_002946.2.826	group_3029
NC_002946.2.827	group_415
NC_002946.2.828	purE
NC_002946.2.833	group_2835
NC_002946.2.834	vraR
NC_002946.2.835	narX
NC_002946.2.836	mobA
NC_002946.2.837	ribE
NC_002946.2.838	group_2462
NC_002946.2.839	group_193
NC_002946.2.840	rpe
NC_002946.2.841	ruvB
NC_002946.2.842	group_3318
NC_002946.2.843	group_867
NC_002946.2.844	cca
NC_002946.2.845	yheS_2
NC_002946.2.846	yffB
NC_002946.2.847	ppiD
NC_002946.2.848	recR
NC_002946.2.849	group_417
NC_002946.2.850	lolE
NC_002946.2.851	lolD
NC_002946.2.852	recD
NC_002946.2.853	prmC_1
NC_002946.2.854	group_3313
NC_002946.2.855	group_869
NC_002946.2.856	lon
NC_002946.2.857	hupB
NC_002946.2.858	group_2208
NC_002946.2.859	hom
NC_002946.2.860	group_2327
NC_002946.2.861	yheS_1
NC_002946.2.862	group_870
NC_002946.2.863	group_2550
NC_002946.2.864	group_194
NC_002946.2.865	group_871
NC_002946.2.866	ung
NC_002946.2.867	group_2797
NC_002946.2.868	qmcA
NC_002946.2.869	yhhT
NC_002946.2.870	group_872
NC_002946.2.871	group_873
NC_002946.2.872	lipB
NC_002946.2.873	lipA
NC_002946.2.874	brfA
NC_002946.2.875	bfr
NC_002946.2.877	group_2764
NC_002946.2.878	group_2578
NC_002946.2.879	guaB
NC_002946.2.880	group_874
NC_002946.2.881	vacB
NC_002946.2.884	group_419
NC_002946.2.885	typA
NC_002946.2.886	nnr
NC_002946.2.887	group_2706
NC_002946.2.888	cysN
NC_002946.2.889	cysJ_2
NC_002946.2.890	cysJ_1
NC_002946.2.891	cysI_2
NC_002946.2.892	cysI_1
NC_002946.2.893	ilvD_1
NC_002946.2.894	group_422
NC_002946.2.895	group_195
NC_002946.2.896	bioB
NC_002946.2.897	group_875
NC_002946.2.898	mpl
NC_002946.2.899	group_3315
NC_002946.2.900	group_424
NC_002946.2.901	group_3377
NC_002946.2.902	rlmB_2
NC_002946.2.903	tilS
NC_002946.2.904	accA
NC_002946.2.905	hslR
NC_002946.2.906	iscX
NC_002946.2.907	group_2771
NC_002946.2.908	group_876
NC_002946.2.909	fdx_1
NC_002946.2.910	group_3319
NC_002946.2.911	group_426
NC_002946.2.912	group_877
NC_002946.2.913	hscA
NC_002946.2.914	crtM
NC_002946.2.915	group_428
NC_002946.2.916	yciK
NC_002946.2.917	group_3056
NC_002946.2.918	group_878
NC_002946.2.919	group_2881
NC_002946.2.920	group_879
NC_002946.2.921	group_3058
NC_002946.2.922	yddA
NC_002946.2.925	hda
NC_002946.2.926	group_3243
NC_002946.2.927	group_880
NC_002946.2.928	argB
NC_002946.2.929	group_2997
NC_002946.2.930	lgt
NC_002946.2.931	secA_2
NC_002946.2.932	leuA
NC_002946.2.933	group_881
NC_002946.2.934	proB
NC_002946.2.936	proA
NC_002946.2.937	ftsK_1
NC_002946.2.938	group_3021
NC_002946.2.939	crcB
NC_002946.2.940	group_883
NC_002946.2.941	nudF
NC_002946.2.942	group_884
NC_002946.2.943	folB
NC_002946.2.944	plsY
NC_002946.2.945	group_197
NC_002946.2.946	group_2932
NC_002946.2.947	group_431
NC_002946.2.948	fbp
NC_002946.2.949	group_2162
NC_002946.2.950	ggt_1
NC_002946.2.952	group_2308
NC_002946.2.953	glyA
NC_002946.2.954	group_2164
NC_002946.2.955	group_3297
NC_002946.2.956	dedA_1
NC_002946.2.957	group_3121
NC_002946.2.958	group_885
NC_002946.2.959	trpE
NC_002946.2.960	haeIIIM_1
NC_002946.2.961	ngoMIVR
NC_002946.2.962	purK
NC_002946.2.963	group_2698
NC_002946.2.964	sbp_2
NC_002946.2.965	sbp_1
NC_002946.2.966	group_886
NC_002946.2.967	group_887
NC_002946.2.968	smrA
NC_002946.2.970	group_434
NC_002946.2.971	group_435
NC_002946.2.973	rubA
NC_002946.2.974	group_888
NC_002946.2.975	group_889
NC_002946.2.976	group_198
NC_002946.2.977	group_890
NC_002946.2.978	dld
NC_002946.2.979	group_436
NC_002946.2.980	group_891
NC_002946.2.982	group_199
NC_002946.2.983	dus_2
NC_002946.2.984	group_2102
NC_002946.2.985	group_437
NC_002946.2.986	group_892
NC_002946.2.987	porA_2
NC_002946.2.988	porA_1
NC_002946.2.989	greA
NC_002946.2.990	group_894
NC_002946.2.991	aroA
NC_002946.2.992	yafL
NC_002946.2.993	cls
NC_002946.2.994	hsrA
NC_002946.2.995	lutA
NC_002946.2.996	group_2820
NC_002946.2.997	lutB
NC_002946.2.998	fitB
NC_002946.2.999	fitA
NC_002946.2.1002	group_3237
NC_002946.2.1003	sucD
NC_002946.2.1004	sucC
NC_002946.2.1005	group_3249
NC_002946.2.1006	lpd
NC_002946.2.1007	sucB
NC_002946.2.1008	sucA
NC_002946.2.1009	gltA
NC_002946.2.1010	group_2381
NC_002946.2.1011	sdhB
NC_002946.2.1012	sdhA
NC_002946.2.1013	sdhD
NC_002946.2.1014	sdhC
NC_002946.2.1015	group_895
NC_002946.2.1016	pdhD
NC_002946.2.1017	group_2249
NC_002946.2.1018	group_896
NC_002946.2.1019	metE
NC_002946.2.1020	metF
NC_002946.2.1021	rpmE2
NC_002946.2.1022	rpmJ
NC_002946.2.1023	group_444
NC_002946.2.1024	metX
NC_002946.2.1025	group_2253
NC_002946.2.1026	group_897
NC_002946.2.1027	group_72
NC_002946.2.1028	efp
NC_002946.2.1029	group_3131
NC_002946.2.1030	group_445
NC_002946.2.1031	group_898
NC_002946.2.1032	miaA
NC_002946.2.1033	tadA
NC_002946.2.1034	group_899
NC_002946.2.1035	rlmB_1
